d_funny_partner_[0-5],funny_partner,expected_num_matches,d_attractive_o_[0-5],pref_o_attractive,attractive_o,d_guess_prob_liked_[0-4],shared_interests_partner,field,guess_prob_liked,d_guess_prob_liked_[7-10],pref_o_shared_interests,like,d_funny_o_[9-10],attractive_partner,funny_o,d_shared_interests_partner_[0-5],interests_correlate,d_attractive_partner_[0-5],pref_o_intelligence,shared_interests_o,d_like_[0-5],d_shared_interests_o_[0-5],d_funny_o_[0-5],match
1,5.0,3.0,1,40.0,5.0,0,6.0,126,5.0,0,10.0,7.0,0,8.0,7.0,1,0.72,0,20.0,6.0,0,0,0,0
0,6.0,3.0,0,30.0,7.0,1,2.0,147,4.0,0,5.0,6.0,0,8.0,7.0,1,-0.14,0,20.0,7.0,0,0,0,0
0,6.0,3.0,0,40.0,8.0,1,3.0,148,4.0,0,5.0,3.0,0,8.0,6.400598653030681,1,0.33,0,30.0,6.0,1,1,1,0
0,8.0,3.0,0,35.0,9.0,0,6.0,15,8.0,1,5.0,5.0,0,6.0,6.0,1,-0.09,0,25.0,5.0,1,1,0,0
1,5.0,4.0,0,15.0,8.0,0,5.0,30,5.0,0,15.0,5.0,0,5.0,8.0,1,0.48,1,20.0,7.0,1,0,0,0
1,4.0,0.0,1,10.0,5.0,1,2.0,61,4.0,0,10.0,6.0,0,4.0,6.0,1,-0.35,1,40.0,7.0,0,0,0,1
0,6.0,5.0,0,15.0,7.0,0,6.0,242,5.0,0,20.0,5.0,0,5.0,3.0,0,0.4,1,25.0,5.0,1,1,1,0
1,4.0,3.0,0,20.0,9.0,0,5.0,30,5.0,0,17.78,6.0,0,4.0,6.400598653030681,1,0.57,1,20.0,6.0,0,1,1,0
0,6.0,3.0,0,20.0,7.0,0,5.0,30,7.0,1,20.0,4.0,0,4.0,8.0,1,0.49,1,20.0,6.0,1,1,0,0
0,6.0,5.0,1,9.76,5.0,0,5.0,36,7.0,1,17.07,6.0,0,7.0,6.0,1,0.2,0,19.51,6.0,0,1,0,0
1,5.0,2.0,1,10.0,1.0,1,3.0,38,3.0,0,10.0,5.0,0,7.0,1.0,1,0.04,0,25.0,2.0,1,1,1,0
0,7.0,3.0,0,15.0,7.0,0,7.0,30,7.0,1,10.0,7.0,0,6.0,8.0,0,0.34,0,30.0,5.0,0,1,0,1
0,10.0,18.0,1,15.38,3.0,0,10.0,109,10.0,1,15.38,10.0,0,10.0,3.0,0,0.13,0,17.31,3.0,0,1,1,0
0,6.0,3.0,0,10.0,6.0,1,6.0,82,2.0,0,20.0,5.0,0,6.0,8.0,1,0.17,0,20.0,8.0,1,0,0,0
1,1.0,3.0,0,9.0,7.0,1,0.0,30,1.0,0,22.0,1.0,0,2.0,6.0,1,0.04,1,23.0,6.0,1,1,0,0
0,6.0,7.0,0,16.67,7.0,0,5.0,30,6.0,0,8.33,6.0,1,7.0,10.0,1,0.17,0,18.75,6.0,0,0,0,0
0,7.0,4.0,0,15.0,9.0,0,5.0,204,7.0,1,20.0,8.0,1,7.0,10.0,1,-0.04,0,10.0,6.0,0,1,0,0
0,7.0,1.0,0,40.0,8.0,0,5.0,141,5.0,0,15.0,8.0,0,8.0,7.0,1,-0.19,0,20.0,5.0,0,1,0,0
1,3.0,0.0,1,25.0,5.0,0,2.0,61,5.0,0,15.0,3.0,0,4.0,5.0,1,0.45,1,20.0,5.0,1,1,1,0
1,6.400597907324364,1.0,0,17.39,8.0,0,6.0,182,5.0,0,15.22,7.0,0,6.0,8.0,1,-0.07,0,19.57,7.0,0,0,0,0
0,8.0,6.0,0,20.0,10.0,0,6.0,109,7.0,1,10.0,7.0,1,6.0,10.0,0,-0.2,0,20.0,7.0,0,0,0,1
0,8.0,10.0,1,45.0,3.0,0,6.0,161,8.0,1,5.0,6.0,0,8.0,1.0,1,0.36,0,10.0,1.0,0,1,1,0
0,7.0,10.0,0,30.0,7.0,0,9.0,68,8.0,1,10.0,9.0,1,9.0,9.0,0,0.44,0,15.0,7.0,0,0,0,1
0,9.0,2.0,0,20.0,6.0,0,8.0,123,7.0,1,10.0,9.0,0,8.0,6.0,0,0.03,0,20.0,4.0,0,1,0,0
0,7.0,0.0,0,30.0,8.0,0,6.0,126,5.0,0,5.0,7.0,0,7.0,8.0,0,0.44,0,20.0,7.0,0,0,0,0
1,4.0,2.0,1,10.0,2.0,1,2.0,38,2.0,0,10.0,5.0,0,7.0,2.0,1,0.5,0,25.0,2.0,1,1,1,0
1,4.0,1.0,0,30.0,8.0,0,3.0,30,5.0,0,20.0,5.0,0,4.0,8.0,1,-0.28,1,10.0,4.0,1,1,0,0
